* Top 60,000 lemmas, with word forms for each lemma
* This sample data is taken from the one billion word Corpus of Contemporary American English (COCA)
(www.english-corpora.org/coca), which is the only corpus of English that is large, up-to-date, and is based on a wide range of genres.
* For complete word frequency data from COCA, please see https://www.wordfrequency.info
* For instructions on using this file in Excel, see https://www.wordfrequency.info/freqTxtToExcel.pdf
* For an explanation of the columns below, see https://www.wordfrequency.info/files.asp
----- Before converting file to Excel, remove the first eight lines, with the first line being the one starting with "rank"

lemRank	lemma	PoS	lemFreq	wordFreq	word
5	of	i	23159162	23159162	of
5	of	i	23159162	23159162	of
15	do	v	8186412	4501047	do
15	do	v	8186412	1889734	did
15	do	v	8186412	964997	does
15	do	v	8186412	461455	doing
15	do	v	8186412	356317	done
15	do	v	8186412	9657	doin
15	do	v	8186412	1655	doth
15	do	v	8186412	1548	don
25	they	p	4503650	4503650	they
35	she	p	3188078	3188077	she
45	about	i	2427703	2427703	about
55	there	e	1980173	1980173	there
65	him	p	1717209	1717209	him
75	could	v	1529795	1529795	could
85	no	a	1206112	1206112	no
95	man	n	1091176	741815	man
95	man	n	1091176	348491	men
95	man	n	1091176	870	mans
105	very	r	963552	963552	very
115	work	v	854095	356692	work
115	work	v	854095	242183	working
115	work	v	854095	154898	worked
115	work	v	854095	98090	works
115	work	v	854095	2232	wrought
125	call	v	768117	365320	called
125	call	v	768117	267297	call
125	call	v	768117	79129	calling
125	call	v	768117	56371	calls
135	in	r	726590	726590	in
145	as	r	662376	662376	as
155	help	v	606887	412389	help
155	help	v	606887	93520	helped
155	help	v	606887	56645	helping
155	help	v	606887	44333	helps
165	every	a	567233	567232	every
175	yes	u	537066	537066	yes
185	its	a	511922	511922	its
195	off	r	479459	479457	off
205	case	n	458383	332608	case
205	case	n	458383	125761	cases
205	case	n	458383	14	casei
215	money	n	437583	436987	money
215	money	n	437583	576	moneys
215	money	n	437583	20	m-o-n-e-y
225	today	r	431562	430978	today
225	today	r	431562	584	to-day
235	hold	v	413837	153835	hold
235	hold	v	413837	146205	held
235	hold	v	413837	74285	holding
235	hold	v	413837	39512	holds
245	anything	p	384508	384431	anything
245	anything	p	384508	76	any-thing
255	home	n	370758	308494	home
255	home	n	370758	62262	homes
265	percent	n	357515	357395	percent
265	percent	n	357515	91	percents
265	percent	n	357515	29	per-cent
275	kid	n	351451	244401	kids
275	kid	n	351451	107050	kid
285	long	j	345005	304483	long
285	long	j	345005	31804	longer
285	long	j	345005	8718	longest
295	service	n	332313	189557	service
295	service	n	332313	142756	services
305	however	r	326015	326015	however
315	watch	v	318772	135170	watch
315	watch	v	318772	106853	watching
315	watch	v	318772	65729	watched
315	watch	v	318772	11020	watches
325	kill	v	307305	128811	killed
325	kill	v	307305	128182	kill
325	kill	v	307305	38550	killing
325	kill	v	307305	11762	kills
335	often	r	295709	295709	often
345	news	n	289175	289175	news
355	able	j	279559	279559	able
365	five	m	270274	269427	five
365	five	m	270274	847	fives
375	buy	v	260201	143700	buy
375	buy	v	260201	69753	bought
375	buy	v	260201	40068	buying
375	buy	v	260201	6676	buys
385	door	n	252623	210094	door
385	door	n	252623	42529	doors
395	consider	v	244644	110596	consider
395	consider	v	244644	105148	considered
395	consider	v	244644	17399	considering
395	consider	v	244644	11501	considers
405	everyone	p	241313	241252	everyone
405	everyone	p	241313	61	every-one
415	process	n	235304	203892	process
415	process	n	235304	31412	processes
425	build	v	230071	92393	built
425	build	v	230071	92282	build
425	build	v	230071	37096	building
425	build	v	230071	8246	builds
425	build	v	230071	54	builded
435	college	n	224634	198523	college
435	college	n	224634	26111	colleges
445	heart	n	216345	193026	heart
445	heart	n	216345	23319	hearts
455	air	n	210307	208389	air
455	air	n	210307	1918	airs
465	wrong	j	206856	206843	wrong
465	wrong	j	206856	13	wrongest
475	security	n	201542	188561	security
475	security	n	201542	12981	securities
485	action	n	198530	137393	action
485	action	n	198530	61137	actions
495	event	n	194748	98596	events
495	event	n	194748	96152	event
505	model	n	191448	131262	model
505	model	n	191448	60186	models
515	couple	n	189272	168190	couple
515	couple	n	189272	21082	couples
525	role	n	184483	155848	role
525	role	n	184483	28635	roles
535	finally	r	181233	181233	finally
545	return	v	176787	71676	return
545	return	v	176787	65141	returned
545	return	v	176787	25191	returning
545	return	v	176787	14779	returns
555	road	n	173413	147818	road
555	road	n	173413	25595	roads
565	science	n	170488	150338	science
565	science	n	170488	20150	sciences
575	matter	n	167351	128116	matter
575	matter	n	167351	39235	matters
585	paper	n	165070	126329	paper
585	paper	n	165070	38741	papers
595	media	n	162177	161989	media
595	media	n	162177	188	medias
605	look	n	160145	144218	look
605	look	n	160145	12535	looks
605	look	n	160145	3392	lookin
615	director	n	158028	139456	director
615	director	n	158028	18572	directors
625	fight	v	154643	70030	fight
625	fight	v	154643	49897	fighting
625	fight	v	154643	30224	fought
625	fight	v	154643	4492	fights
635	throw	v	152388	55237	throw
635	throw	v	152388	34126	threw
635	throw	v	152388	26736	throwing
635	throw	v	152388	25707	thrown
635	throw	v	152388	10459	throws
635	throw	v	152388	123	throwed
645	oil	n	150410	145400	oil
645	oil	n	150410	5010	oils
655	whose	d	147491	147491	whose
665	forget	v	145557	86958	forget
665	forget	v	145557	25696	forgot
665	forget	v	145557	23779	forgotten
665	forget	v	145557	6822	forgetting
665	forget	v	145557	2302	forgets
675	condition	n	143732	85754	conditions
675	condition	n	143732	57978	condition
685	series	n	140231	140169	series
685	series	n	140231	62	serie
695	bank	n	138673	91310	bank
695	bank	n	138673	47363	banks
705	blood	n	137579	136845	blood
705	blood	n	137579	734	bloods
715	response	n	135942	96431	response
715	response	n	135942	39511	responses
725	earth	n	134202	133301	earth
725	earth	n	134202	901	earths
735	simple	j	132004	120667	simple
735	simple	j	132004	6848	simpler
735	simple	j	132004	4489	simplest
745	common	j	130294	129980	common
745	common	j	130294	231	commonest
745	common	j	130294	83	commoner
755	hot	j	128310	118207	hot
755	hot	j	128310	6351	hottest
755	hot	j	128310	3752	hotter
765	performance	n	127318	111663	performance
765	performance	n	127318	15655	performances
775	example	n	125442	85246	example
775	example	n	125442	40196	examples
785	agency	n	123524	80553	agency
785	agency	n	123524	42971	agencies
795	serious	j	122251	122251	serious
805	identify	v	120690	51134	identified
805	identify	v	120690	49051	identify
805	identify	v	120690	14576	identifying
805	identify	v	120690	5929	identifies
815	worry	v	119256	80677	worry
815	worry	v	119256	30596	worried
815	worry	v	119256	4536	worries
815	worry	v	119256	3447	worrying
825	treatment	n	116893	100609	treatment
825	treatment	n	116893	16284	treatments
835	answer	v	115956	65746	answer
835	answer	v	115956	33237	answered
835	answer	v	115956	8663	answering
835	answer	v	115956	8310	answers
845	TV	n	114859	114808	tv
845	TV	n	114859	867	t.v.
845	TV	n	114859	51	t.v
855	degree	n	113046	73314	degree
855	degree	n	113046	39732	degrees
865	present	v	111731	53101	presented
865	present	v	111731	30677	present
865	present	v	111731	18402	presents
865	present	v	111731	9551	presenting
875	design	n	111026	93062	design
875	design	n	111026	17963	designs
885	district	n	109941	89915	district
885	district	n	109941	20026	districts
895	fan	n	107631	66402	fans
895	fan	n	107631	41229	fan
905	clearly	r	105965	105965	clearly
915	indicate	v	105304	36021	indicated
915	indicate	v	105304	33610	indicate
915	indicate	v	105304	22123	indicates
915	indicate	v	105304	13550	indicating
925	particularly	r	104018	104018	particularly
935	union	n	102805	83291	union
935	union	n	102805	19514	unions
945	employee	n	101818	71520	employees
945	employee	n	101818	30238	employee
945	employee	n	101818	60	employes
955	hate	v	100757	67811	hate
955	hate	v	100757	19582	hated
955	hate	v	100757	10009	hates
955	hate	v	100757	3355	hating
965	camera	n	99855	74259	camera
965	camera	n	99855	25596	cameras
975	nobody	p	99029	99029	nobody
985	design	v	97967	77574	designed
985	design	v	97967	11734	design
985	design	v	97967	8659	designing
995	public	n	97031	96317	public
995	public	n	97031	714	publics
1005	green	j	95937	93897	green
1005	green	j	95937	1698	greener
1005	green	j	95937	338	greenest
1015	debate	n	95244	78786	debate
1015	debate	n	95244	16456	debates
