Language,"Native speakers
(in millions)",Language family,Branch,ISO-639-1,ISO-639-2/T,ISO-639-2/B,ISO-639-3
Mandarin Chinese,941,Sino-Tibetan,Sinitic,zh,zho,chi,zho 
Spanish,486,Indo-European,Romance,es,spa,spa,spa
English,380,Indo-European,Germanic,en,eng,eng,eng
Hindi,345,Indo-European,Indo-Aryan,hi,hin,hin,hin
Bengali,237,Indo-European,Indo-Aryan,bn,ben,ben,ben
Portuguese,236,Indo-European,Romance,pt,por,por,por
Russian,148,Indo-European,Balto-Slavic,ru,rus,rus,rus
Japanese,123,Japonic,Japanese,ja,jpn,jpn,jpn
Yue Chinese,86,Sino-Tibetan,Sinitic,,,,yue
Vietnamese,85,Austroasiatic,Vietic,vi,vie,vie,vie
Turkish,84,Turkic,Oghuz,tr,tur,tur,tur
Wu Chinese,83,Sino-Tibetan,Sinitic,,,,wuu
Telugu,83,Dravidian,South-Central,te,tel,tel,tel
Marathi,83,Indo-European,Indo-Aryan,mr,mar,mar,mar
Lahndi / Western Punjabi,82,Indo-European,Indo-Aryan,,lah,lah,lah
Korean,81,Koreanic,—,ko,kor,kor,kor
Tamil,79,Dravidian,South,ta,tam,tam,tam
Egyptian Arabic,78,Afroasiatic,Semitic,ar,,,arz
Standard German,76,Indo-European,Germanic,de,deu,ger,deu
French,74,Indo-European,Romance,fr,fra,fre,fra
Urdu,70,Indo-European,Indo-Aryan,ur,urd,urd,urd
Javanese,68,Austronesian,Malayo-Polynesian,jv,jav,jav,jav
Italian,64,Indo-European,Romance,it,ita,ita,ita
Iranian Persian,62,Indo-European,Iranian,fa,fas,per,fas
Gujarati,58,Indo-European,Indo-Aryan,gu,guj,guj,guj
Hausa,54,Afroasiatic,Chadic,ha,hau,hau,hau
Bhojpuri,53,Indo-European,Indo-Aryan,,bho,bho,bho
Southern Min,51,Sino-Tibetan,Sinitic,,,,nan
Levantine Arabic,51,Afroasiatic,Semitic,,,,apc
